Cliente;rede;uf;vendedor;codigo;loja;endereco;bairro;municipio;cep
Atacadao Subae;Atacadao;BA;Nixon;2;70;AV DEPUTADO LUIS EDUARDO MAGALHAES SN;SUBAE;FEIRA DE SANTANA;44079-002
Atacadao Subae;Atacadao;BA;Nixon;48;33;AV DEPUTADO LUIS EDUARDO MAGALHAES;SUBAE;FEIRA DE SANTANA;44079-002
Atakarejo Alagoinhas;Atakarejo;BA;Ricardo;213;29;ALAMEDA DAS AGUAS SN;NOVO HORIZONTE;ALAGOINHAS;48009-886
Atakarejo Amaralina;Atakarejo;BA;Ricardo;213;8;R JANIO QUADROS, 390;AMARALINA;SALVADOR;41900-340
Atakarejo Aracaju;Atakarejo;SE;Ricardo;213;21;AVENIDA ADELIA FRANCO 2350;LUZIA;ARACAJU;49048-010
Atakarejo Baixa De Quintas;Atakarejo;BA;Ricardo;213;28;ESTRADA DA RAINHA 000646;BAIXA DE QUINTAS;SALVADOR;40300-035
Atakarejo Boca Do Rio;Atakarejo;BA;Ricardo;213;7;R ABELARDO ANDRADE DE CARVALHO,472;BOCA DO RIO;SALVADOR;41706-710
Atakarejo Cabula;Atakarejo;BA;Ricardo;213;6;ESTRADA DAS BARREIRAS;CABULA;SALVADOR;41195-001
Atakarejo Calcada;Atakarejo;BA;Ricardo;213;4;R ELIAS NAZARE 22;CALCADA;SALVADOR;40411-000
Atakarejo Camacari;Atakarejo;BA;Ricardo;213;13;JD LIMOEIRO S/N;LIMOEIRO;CAMACARI;42800-681
